37	38
37	1357
37	1358
37	2374
37	2375
37	4407
37	4408
37	4950
37	4951
37	5041
37	5042
37	6551
37	6552
37	10957
37	10958
37	12638
37	12639
37	14772
37	17258
37	17259
37	17506
37	17507
37	17811
37	17812
37	17854
37	18276
37	18277
37	18296
37	18629
37	19621
37	19789
37	20096
37	20128
37	21374
37	21712
37	21713
37	22873
37	26053
37	26054
37	26184
37	26185
37	27517
37	28236
37	28639
37	29331
37	31868
37	32032
37	32200
37	33412
37	35498
37	37698
37	38315
37	42108
37	43745
37	44331
37	47020
37	47485
37	48053
37	50856
37	54749
37	59367
37	61018
37	61999
37	62000
37	67545
37	69550
37	82345
37	88660
37	96383
37	107900
37	107901
37	126808
37	299458
37	314002
37	362592
38	37
38	1357
38	1358
38	2374
38	2375
38	4407
38	4408
38	4950
38	4951
38	5041
38	5042
38	6551
38	6552
38	10957
38	10958
38	12638
38	12639
38	14772
38	17258
38	17259
38	17506
38	17507
38	17811
38	17812
38	17854
38	18276
38	18277
38	18296
38	18629
38	19621
38	19789
38	20096
38	20128
38	21374
38	21712
38	21713
38	22873
38	26053
38	26054
38	26184
38	26185
38	27517
38	28236
38	28639
38	29331
38	31868
38	32032
38	32200
38	33412
38	35498
38	37698
38	38315
38	42108
38	43745
38	44331
38	47020
38	47485
38	48053
38	50856
38	54749
38	59367
38	61018
38	61999
38	62000
38	67545
38	69550
38	82345
38	88660
38	96383
38	107900
38	107901
38	126808
38	299458
38	314002
38	362592
46	134030
46	134031
46	271267
57	1885
57	1886
57	2561
57	4037
57	4038
57	4351
57	4352
57	4415
57	4416
57	4893
57	6099
57	6100
57	6171
57	6437
57	6438
57	6799
57	6800
57	7800
57	7801
57	8037
57	8154
57	10234
57	10433
57	12191
57	12717
57	12718
57	12851
57	12852
57	13144
57	14221
57	20105
57	20201
57	20628
57	20672
57	21876
57	24296
57	24297
57	28280
57	30647
57	30681
57	30696
57	32317
57	34942
57	35933
57	36120
57	38211
57	39651
57	39774
57	44269
57	51617
57	51836
57	52298
57	53167
57	55585
57	59242
57	65436
57	264646
117	118
117	3875
117	6952
117	6953
117	10024
117	12017
117	12018
117	21153
117	21154
117	23752
117	23753
117	27456
117	33695
117	37121
117	61676
117	64009
117	115735
117	120201
117	128315
117	143891
117	204613
117	249357
118	117
118	3875
118	6952
118	6953
118	10024
118	12017
118	12018
118	21153
118	21154
